"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16"
6 22 80 10 7 21 4 1 0 3 15 9 9 76 34 3
4 17 73 27 17 15 2 0 0 2 10 17 34 62 15 5
13 66 35 5 8 11 22 2 0 11 2 6 6 12 59 42
19 15 4 3 0 0 5 4 3 1 0 0 1 1 22 22
2 54 75 5 3 1 3 0 0 23 32 5 2 28 66 1
87 39 15 0 1 5 15 6 14 12 4 0 1 15 38 48
31 45 32 8 6 8 16 6 2 7 11 4 5 15 46 58
29 87 36 2 4 8 2 0 3 23 21 2 2 61 19 1
13 11 20 57 11 5 15 9 2 2 4 13 30 22 42 44
63 47 10 0 0 10 7 3 18 14 7 1 1 32 49 35
0 52 57 3 2 20 5 0 0 9 19 4 4 65 56 4
16 45 20 6 5 11 30 7 0 3 1 1 7 16 89 42
1 46 46 17 4 22 14 1 0 1 10 5 12 58 58 5
5 16 31 7 3 22 22 2 0 8 21 7 3 15 30 8
28 70 16 0 0 2 14 10 16 22 6 0 0 10 39 67
7 23 40 11 2 28 19 11 1 3 5 6 1 12 34 97
0 13 65 36 8 16 6 0 0 2 18 8 40 61 27 0
0 39 67 4 0 7 20 11 1 7 14 1 0 14 77 38
7 70 31 1 1 4 28 9 2 10 6 0 0 7 72 52
31 39 26 18 16 8 7 5 3 4 4 15 30 23 47 24
