"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16"
0 7 44 21 10 57 4 1 0 3 33 13 15 77 4 2
8 10 37 20 4 35 36 2 0 8 12 15 3 45 53 11
45 49 17 6 2 3 12 14 2 7 9 5 3 10 49 67
6 25 39 16 20 33 15 0 0 17 13 4 36 49 21 1
11 58 33 0 0 28 34 0 2 14 4 0 1 43 66 6
43 44 29 4 6 4 9 15 1 10 10 3 1 9 42 70
39 56 34 1 3 11 8 7 0 4 6 7 1 15 46 62
36 37 32 4 2 9 16 4 0 2 15 3 0 19 62 59
37 1 2 37 29 2 3 39 1 1 0 4 54 0 2 87
51 37 11 0 0 6 22 22 9 9 1 0 0 6 63 63
44 28 54 0 3 16 12 4 1 2 5 1 0 18 45 67
9 55 26 1 3 14 25 6 7 39 13 4 3 19 57 13
16 51 47 1 3 7 24 2 0 2 9 1 1 17 103 16
85 24 14 1 0 1 10 14 19 7 3 1 3 4 30 84
82 32 7 0 0 5 17 9 6 14 6 0 0 8 34 80
63 42 32 0 2 11 5 0 4 6 16 3 1 47 61 7
62 20 20 2 3 6 8 16 7 6 11 1 2 10 38 88
34 40 20 2 3 22 27 2 3 12 6 3 4 42 70 10
70 23 18 1 0 12 33 4 4 2 7 1 0 13 56 56
43 8 23 18 13 19 13 4 2 1 5 8 10 47 46 40
