"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16"
1 14 83 14 2 16 11 0 0 6 17 14 5 58 55 4
51 55 8 1 0 5 27 7 7 11 6 0 2 13 74 31
36 72 21 2 0 3 8 5 4 19 13 3 1 9 66 37
11 72 25 8 2 11 20 1 1 26 16 2 12 40 44 9
0 88 13 0 2 1 40 1 0 16 1 1 2 25 109 1
36 64 25 2 0 4 10 7 0 8 8 0 1 7 24 104
93 23 19 8 1 1 2 0 6 7 15 13 3 18 27 64
17 41 62 17 4 18 5 0 0 3 15 10 4 33 48 23
83 12 8 1 2 6 11 17 20 8 1 6 3 7 15 100
96 24 0 0 0 0 2 20 27 8 2 0 0 2 15 104
5 35 59 3 2 19 26 5 1 5 8 3 0 17 69 43
12 71 38 9 0 6 18 2 6 35 12 5 1 16 52 16
8 64 23 1 1 6 27 2 0 12 6 1 0 8 128 13
75 35 11 2 0 4 5 12 15 5 7 2 0 11 38 78
96 32 5 0 0 3 14 8 14 9 7 0 0 8 39 65
58 50 29 0 3 17 4 0 6 7 10 2 1 63 44 6
30 49 46 12 5 2 1 1 2 7 14 5 12 45 45 24
42 21 25 4 1 17 29 6 5 5 1 0 2 45 78 19
74 30 7 0 1 5 17 21 7 9 5 0 0 4 33 87
80 10 20 16 8 11 7 6 7 4 4 9 9 35 25 49
